Participant ID,B4_Drip,B4_Overhead,B4_Hand,B4_Flood,B4_None,B4_Other,B6_Brassica,B6_Cucurbita,B6_Solanaceous,B6_Sweet,B6_Legume,B6_Lamiaceous,B6_Allium,B6_Umbel,B6_Chenopod,B6_Aster,B6_Rosaceae,B6_Ericaceae,B6_Other,B8_Legumes,B8_Brassicas,B8_Buckwheat,B8_Cool,B8_Warm,B8_Phacelia,B8_None,B8_Other,B9_Chickens,B9_Ducks,B9_Cattle,B9_Goats,B9_Sheep,B9_Hogs,B9_None,B9_Other,B10_Alfalfa,B10_Bat,B10_Feather,B10_FishM,B10_Bone,B10_Blood,B10_Cotton,B10_FishE,B10_Soybean,B10_Rock,B10_Kelp,B10_Greensand,B10_Langbeinite,B10_Potassium,B10_Compost,B10_None,B10_Other,B11_Notill,B11_Zone,B11_Ridge,B11_Inrow,B11_Shallow,B11_Permanent,B11_None,B11_Other,B12_Hay,B12_Straw,B12_Plastic,B12_Fabric,B12_Bio,B12_None,B12_Other,B13_Tarping,B13_Solarization,B13_None,B13_Other,B14_Beauveria,B14_Isaria,B14_Chromo,B14_None,B14_Other,B15_Azadiractin,B15_Potassium,B15_Iron,B15_Spinosad,B15_Hydrogen,B15_Reynoutria,B15_None,B15_Other,E4_Drip,E4_Overhead,E4_Hand,E4_Flood,E4_None,E4_Other,E6_Brassica,E6_Cucurbita,E6_Solanaceous,E6_Sweet,E6_Legume,E6_Lamiaceous,E6_Allium,E6_Umbel,E6_Chenopod,E6_Aster,E6_Rosaceae,E6_Ericaceae,E6_Other,E8_Legumes,E8_Brassicas,E8_Buckwheat,E8_Cool,E8_Warm,E8_Phacelia,E8_None,E8_Other,E9_Chickens,E9_Ducks,E9_Cattle,E9_Goats,E9_Sheep,E9_Hogs,E9_None,E9_Other,E10_Alfalfa,E10_Bat,E10_Feather,E10_FishM,E10_Bone,E10_Blood,E10_Cotton,E10_FishE,E10_Soybean,E10_Rock,E10_Kelp,E10_Greensand,E10_Langbeinite,E10_Potassium,E10_Compost,E10_None,E10_Other,E11_Notill,E11_Zone,E11_Ridge,E11_Inrow,E11_Shallow,E11_Permanent,E11_None,E11_Other,E12_Hay,E12_Straw,E12_Plastic,E12_Fabric,E12_Bio,E12_None,E12_Other,E13_Tarping,E13_Solarization,E13_None,E13_Other,E14_Beauveria,E14_Isaria,E14_Chromo,E14_None,E14_Other,E15_Azadiractin,E15_Potassium,E15_Iron,E15_Spinosad,E15_Hydrogen,E15_Reynoutria,E15_None,E15_Other
71,,,,,None,,,,,,,,,,,,,,Asparagus,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,,,,,,,Clippings field is mowed for tick control,,,None,,,,,None,,,,,,,,None,,,,,,None,,,,Solanaceous,,,,,,,,,,,,,,,"Warm season grasses (e.g., sorghum, millet, sudangrass)",,None,,,,,,,,None,,,,,Fish meal,,,,Fish emulsion,,,Kelp meal,,,,Compost,,,,,,,,Permanent beds,,,,,,Weed barrier fabrics,,,,,Solarization,,,,,,None,,,,,,,,None,
109,Drip,,,,,,,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,,,,,,,,Field peas,,,,,,,None,,,,,,,,,,,,,,,,,,Horse manure,,,,,,,None,,,,,,,,Maple leaves,,,None,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Drip,,,,,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,,,,"Cool season grasses (e.g., winter rye)",,Phacelia,,,,,,,,,None,,,,,,Bone meal,Blood meal,,Fish emulsion,,,Kelp meal,,,,,,"Chicken manure, crab shell",,,,,,,None,,,,Plastic mulch,,,,,,,None,,,,,,Bt - Bacillus thuringiensis,"Azadiractin (e.g., AzaGuard, Neemix)",,,,Hydrogen dioxide,,,,Drip,,,,,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,,,,"Cool season grasses (e.g., winter rye)",,Phacelia,,,,,,,,,None,,,,,,Bone meal,Blood meal,,Fish emulsion,,,Kelp meal,,,,,,"Chicken manure, crab shell",,,,,,,None,,,,Plastic mulch,,,,,,,None,,,,,,Bt - Bacillus thuringiensis,"Azadiractin (e.g., AzaGuard, Neemix)",,,,Hydrogen dioxide,,,
232,,,Hand watered,,,,,Cucurbit,,,,Lamiaceous,Allium,Umbel,,Aster,,,,,Brassicas,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,Permanent beds,,,,,,,,,Shredded on-farm wood chips,Tarping,,,,,,,None,,,,,,,,None,,,,Hand watering,,,,Brassica,,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,,Aster,,Ericaceae,,Legumes,Brassicas,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,,,,No-till,,,,,Permanent beds,,,,,,,,,Shredded on-farm wood chips,Tarping,Solarization,,,,,,None,,,,,,,,None,
211,Drip,,,,,,,,,Sweet corn,Legume,,Allium,Umbel,Chenopod,,,,,Legumes,,Buckwheat,,,,,Spring oats,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,,Zone tillage,,,,,,,,Straw,,Weed barrier fabrics,,,,,,,,,,,None,,,,,,,,None,,Drip,,,,,,,,Solanaceous,,,,Allium,Umbel,Chenopod,,,,,Legumes,,Buckwheat,,,,,Spring oats,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,,,,In-row subsoiling,,,,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
157,Drip,Overhead,,,,,Brassica,,,,,,,,,Aster,Rosaceae,,,Legumes,,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Sulfur,,,,,,,None,,,,Plastic mulch,,,,,,,None,,,,,None,,,,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",,,,,Drip,Overhead,,,,,,Cucurbit,,,,,Allium,,,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Sulfur,,,,,,,None,,,,Plastic mulch,,,,,,,None,,,,,None,,,,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",,,,
208,,,,,None,,,Cucurbit,,Sweet corn,Legume,,Allium,Umbel,Chenopod,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,"Kregers 5,4,3 with 8 … calcium",,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,,,None,,,,,,None,,,,,,,,,,,,,,Field was fallow dragged + disked to keep weeds out,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,Cow manure from neighbor,,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
218,,Overhead,,,,,,,Solanaceous,,,,,,,,,,,,,,,"Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,,,,,,,,,,,,,Composed chicken manure base fertilizer,,,,,Shallow tillage,,,,,,,,,None,,Tarping,,,,,,,None,,,,,,,,,Pyganic,,,,,None,,,,Solanaceous,,,,,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Composted chicken manure based fert.,,,,,Shallow tillage,Permanent beds,,,Hay,,,,,,,Tarping,,,,,,,None,,,,,,,,None,
212,Drip,Overhead,,,,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,Rosaceae,,"Sweet potato, ginger",Legumes,,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,Potassium sulfate,Compost,,Pelleted chicken manure,,,,,Shallow tillage,Permanent beds,,,,Straw,,Weed barrier fabrics,,,,Tarping,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Drip,Overhead,,,,,,Cucurbit,,,,,,Umbel,,,,,,Legumes,,,,"Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,Bone meal,Blood meal,,,,,,,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),Zone tillage,,In-row subsoiling,,,,,Hay,,Plastic mulch,,,,,,,None,,,,,,,,,,,,,,,,Overhead,,,,,,,,,,,,,,,,,Cover crop,Legumes,,,,"Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,Bone meal,Blood meal,,,,,,,,,Compost,,,No-till,Zone tillage,,In-row subsoiling,,,,,Hay,,,,,,,,,None,,,,,,,,,,,,,,
282,,,,,None,,,,,,,,Allium,,,,,,,,Brassicas,Buckwheat,,,,,,,,,,,,None,,,,,,,,,,,Rock phosphate,,,,,,,Dairy manure,,,,,,,None,,Hay,,,,,,,,,None,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,Overhead,,,,,Brassica,,Solanaceous,,,,,,Chenopod,,,,,,Brassicas,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,Oats for winter kill,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Raw chicken manure,,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,,,None,,,Overhead,,,,,,Cucurbit,Solanaceous,Sweet corn,,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,,,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,Winter kill oats,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Raw chicken manure,,,,,,,None,,,,,Weed barrier fabrics,,,,,,None,,,,,None,,,,,,,,None,
280,Drip,,,,,,,Cucurbit,,,,,,,,,,,2019 was squash and 2021 was pasture w/ plans to grow squash in 2022 again.,Legumes,,,,"Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,Sheep,,,Horses (equine),,,,,,,,Fish emulsion,,,,,,,Compost,,5-4-3 chicken compost from Friendly Blends Canandaigua NY ,,,,,,,None,,,,,,,None,,,,None,,,,,,Pyganic 1.4,,,,,,,None,,,,,,None,,,,,,,,,,,,,,Pasture for 5 years,Legumes,,,,"Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,Sheep,,,Horses,,,,,,,,,,,,,,,Compost,,5-4-3 Chicken compost from Friendly blends,,,,,,,None,,,,,,,None,,,,None,,,,,,Pyganic 1.4,,,,,,,None,
64,Drip,Overhead,,,,,,Cucurbit,,,,,,Umbel,Chenopod,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,"Kreger's 5-4-3 fertilizer, N.C.O. 6-0-6 fertilizer",,,,,,,None,,,,Plastic mulch,Weed barrier fabrics,,,,,,None,,,,,,Dipel & Double nickel applied to crops,,,,,,,,Spinosad applied to crops (entrust),Drip,Overhead,,,,,,,Solanaceous,,Legume,,Allium,Umbel,Chenopod,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,"Kreher's 5-4-3, N.C.O. 6-0-6 no-phos",,,,,,,None,,,,Plastic mulch,Weed barrier fabrics,,,,,,None,,,,,,Dipel & Double nickel on crops,,,,,,,,Entrust & regalia on crops
21,,,,,None,,,,,,,,,,,,,,"Rye & vetch then sorghum sudan, cow peas, & buckwheat",Legumes,,Buckwheat,,"Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,,,,,,,,,,,,None,,,,,,Shallow tillage,,,,,,,,,None,,,,None,,,,,None,,,,,,,,None,,,Overhead,,,,,Brassica,Cucurbit,,,,,Allium,Umbel,Chenopod,,,,Sweet potato,Legumes,,,"Cool season grasses (e.g., winter rye)","Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,Feather meal,,,Blood meal,,,,Rock phosphate,,,,,Compost,,,,,,In-row subsoiling,Shallow tillage,,,,Hay,Straw,,,,,,,,None,,,,,None,,,,,,,,None,
101,Drip,,,,,,,,,,,,,,,,,,Hemp,,,,,,,None,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,Krehers 5-3-2 (Composted chicken manure); Kelp emulsion,,,,,,,,"Disk, chisel plow, perfecta",,,Plastic mulch,,,,,,,None,,,,,None,,,,,,,,None,,Drip,,,,,,,,Solanaceous,,,,,,,,,,,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,,,Krehers 5-3-2 Chicken composted; Kelp emulsion,,,,,,,None,,,,Plastic mulch,,,,,,,None,,,,,,Steinernema corpocasae entomopathogenic nematode; Heterohabitilis bacteriaphora,,,,,,,None,
