Farm,Date,Year,Week,FeedThru,FeedThruType,FlyTreat,FlyTreatType,Pyrethroid,Pyrethrin,IGR,Ivermectin,Grazing,RotFreqDays,Other,Calamosternus granarius,Colobopterus erraticus,Aphodius fimetarius,Otophorus haemorrhoidalis,Oscarinus rusicola,Alloblackburneus rubeolus,Acrossus rubripennis,Chilothorax distinctus,Teuchestes fossor,Labarrus lividus,Blackburneus stercorosus,Ataenius strigatus,Trichonotulus scrofa,Eupleurus subterraneus,Onthophagus taurus,Onthophagus pensylvannicus,Onthophagus nuchicornis,Onthophagus hecate,AbAll,AbDB,AbNonDB,AbHist,AbHydro,AbHySmall,AbHyLarge,AbStaph,Richness (db),Weather,Windy,Temperature,HornFliesAvg,FaceFliesAvg,StableFliesAvg,GPS
Rugenstein,12-May,2022,2,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,390,11,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,445,406,39,1,31,10,21,7,4,S,N,80,0,0,,"43.06299375705573, -77.30374234638641"
Eisele,12-May,2022,2,N,N,N,N,N,N,N,N,Rotational,2,,1,58,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,131,62,69,0,67,0,67,2,4,S,,70,1,,,"42.158070, -74.802461"
Shephard,12-May,2022,2,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,0,2,0,1,S,,70,0.2,0,,"42.322393, -74.891982"
Chaseholm,17-May,2022,3,N,N,N,N,N,N,N,N,Rotational,2.5,,0,174,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,230,179,51,0,51,1,50,0,3,S,,64,16.2,50,,"41.98788599305552, -73.61780360369838"
Wallbridge,18-May,2022,3,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,29,3,26,0,25,1,24,1,2,S,,65,8,1,,"41.774997612249, -73.6515655461982"
JohnK,18-May,2022,3,N,N,N,N,N,N,N,N,Continuous,30,,0,16,0,12,1,0,0,0,1,0,0,0,0,0,4,0,0,0,51,34,17,0,14,1,13,3,5,S,Y,70,6,7,,"42.40061728166515, -73.99420583068292"
Boone,18-May,2022,3,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,23,48,0,46,2,44,2,2,S,Y,60,2,0,,"42.54463393478293, -74.03369647630593"
Turner,19-May,2022,3,N,N,N,N,N,N,N,N,Rotational,2,,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,24,56,0,52,9,43,4,2,PC,,73,14,11,,"42.22686594127726, -76.99705251164634"
Kuipers,19-May,2022,3,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,9,0,7,7,0,2,2,R,,56,,,,"42.652410995744475, -78.24775957397635"
Honeyhill,19-May,2022,3,N,N,N,N,N,N,N,N,Rotational,0.5,,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,6,2,4,1,3,0,3,C,Y,59,0,0,,"42.7876199,-77.6811557"
Rugenstein,19-May,2022,3,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,11,0,11,5,6,0,2,S,Y,60,0,2,,"43.06299375705573, -77.30374234638641"
Eisele,19-May,2022,3,N,N,N,N,N,N,N,N,Rotational,2,,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,7,79,0,78,0,78,1,2,R,,53,0,0,,"42.158070, -74.802461"
Shephard,19-May,2022,3,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,8,0,8,3,5,0,2,R,,55,0,0,,"42.322393, -74.891982"
Chaseholm,24-May,2022,4,N,N,N,N,N,N,N,N,Rotational,2.5,,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,30,31,0,30,4,26,1,3,S,,85,14,32,,"41.98788599305552, -73.61780360369838"
Wallbridge,26-May,2022,4,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,1,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48,15,33,2,31,16,15,0,3,PC,,71,10,32,,"41.774997612249, -73.6515655461982"
JohnK,25-May,2022,4,N,N,N,N,N,N,N,N,Continuous,30,,4,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,26,19,0,19,4,15,0,3,S,Y,72,122,3.6,,"42.40061728166515, -73.99420583068292"
Boone,25-May,2022,4,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,0,2,0,1,S,Y,66,2.8,1.2,,"42.54463393478293, -74.03369647630593"
Turner,27-May,2022,4,N,N,N,N,N,N,N,N,Rotational,2,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,1,0,0,2,R,,68,5,7,,"42.22686594127726, -76.99705251164634"
Kuipers,27-May,2022,4,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,43,1,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,110,85,25,2,22,17,5,1,4,R,,61,,,,"42.652410995744475, -78.24775957397635"
Honeyhill,26-May,2022,4,N,N,N,N,N,N,N,N,Rotational,0.5,,0,46,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,81,49,32,0,32,9,23,0,3,S,Y,74,9,3.8,,"42.7876199,-77.6811557"
Rugenstein,26-May,2022,4,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,8,14,0,14,12,2,0,3,PC,Y,80,0,2.6,,"43.06299375705573, -77.30374234638641"
Eisele,26-May,2022,4,N,N,N,N,N,N,N,N,Rotational,2,,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,7,1,5,5,0,1,1,S,,55,20.6,13.6,,"42.158070, -74.802461"
Shephard,26-May,2022,4,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,6,0,0,S,,60,31,3.6,,"42.322393, -74.891982"
Chaseholm,31-May,2022,5,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,4,0,4,1,3,0,1,S,,94,,,,"41.98788599305552, -73.61780360369838"
Wallbridge,1-Jun,2022,5,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,15,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,22,30,0,29,15,14,1,3,S,,81,,,,"41.774997612249, -73.6515655461982"
JohnK,1-Jun,2022,5,N,N,N,N,N,N,N,N,Continuous,30,,0,11,0,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,99,21,78,7,65,54,11,6,5,R,N,68,102,9.2,,"42.40061728166515, -73.99420583068292"
Boone,1-Jun,2022,5,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,31,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,114,35,79,0,78,24,54,1,5,R,N,68,,,,"42.54463393478293, -74.03369647630593"
Turner,2-Jun,2022,5,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,9,3,6,1,0,PC,,69,66,49,,"42.22686594127726, -76.99705251164634"
Kuipers,2-Jun,2022,5,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,8,9,0,1,3,0,0,0,1,0,0,2,0,0,1,0,0,0,41,25,16,1,13,13,0,2,7,C,,61,5,8,,"42.652410995744475, -78.24775957397635"
Honeyhill,2-Jun,2022,5,N,N,N,N,N,N,N,N,Rotational,0.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2,8,1,7,1,6,0,2,PC,N,67,15.6,7.2,,"42.7876199,-77.6811557"
Rugenstein,2-Jun,2022,5,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,16,0,16,5,11,0,1,PC,N,74,11.2,10,,"43.06299375705573, -77.30374234638641"
Eisele,2-Jun,2022,5,N,N,N,N,N,N,N,N,Rotational,2,,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,5,64,0,62,60,2,2,2,C,,75,20,16,,"42.158070, -74.802461"
Shephard,2-Jun,2022,5,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,19,31,0,30,10,20,1,2,C,,70,9,2.4,,"42.322393, -74.891982"
Chaseholm,6-Jun,2022,6,N,N,N,N,N,N,N,N,Rotational,2.5,,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,44,1,40,2,38,3,2,S,,80,81,24,,"41.98788599305552, -73.61780360369838"
Wallbridge,6-Jun,2022,6,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13,8,5,0,5,1,4,0,3,S,,80,91,44.4,,"41.774997612249, -73.6515655461982"
JohnK,7-Jun,2022,6,N,N,N,N,N,N,N,N,Continuous,30,,0,18,10,11,1,0,0,0,0,0,0,0,0,0,2,0,0,0,67,42,25,6,13,0,13,6,5,C,Y,74,140,12,,"42.40061728166515, -73.99420583068292"
Boone,7-Jun,2022,6,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22,4,18,0,17,7,10,1,4,C,Y,71,17,4.4,,"42.54463393478293, -74.03369647630593"
Turner,9-Jun,2022,6,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,8,7,1,0,1,R,,55,78,32,,"42.22686594127726, -76.99705251164634"
Kuipers,10-Jun,2022,6,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,38,1,0,1,1,0,0,2,PC,,55,4,2,,"42.652410995744475, -78.24775957397635"
Honeyhill,10-Jun,2022,6,N,N,N,N,N,N,N,N,Rotational,0.5,,0,15,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,18,3,1,2,2,0,0,3,S,N,62,16,8.6,,"42.7876199,-77.6811557"
Rugenstein,10-Jun,2022,6,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,11,0,11,0,11,0,4,PC,N,66,28.2,7,,"43.06299375705573, -77.30374234638641"
Eisele,8-Jun,2022,6,N,N,N,N,N,N,N,N,Rotational,2,,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,7,46,0,46,10,36,0,2,C,,75,17,54,,"42.158070, -74.802461"
Shephard,8-Jun,2022,6,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,0,7,3,4,0,1,S,,75,8.4,8,,"42.322393, -74.891982"
Chaseholm,13-Jun,2022,7,N,N,N,N,N,N,N,N,Rotational,2.5,,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,16,0,15,0,15,1,2,C,,75,,,,"41.98788599305552, -73.61780360369838"
Wallbridge,13-Jun,2022,7,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,2,27,6,21,1,0,C,,75,95.2,38.6,,"41.774997612249, -73.6515655461982"
JohnK,14-Jun,2022,7,N,N,N,N,N,N,N,N,Continuous,30,,0,66,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,134,80,54,1,50,6,44,3,3,S,Y,76,176,18,,"42.40061728166515, -73.99420583068292"
Boone,14-Jun,2022,7,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,22,0,22,4,18,0,2,S,Y,70,27,9,,"42.54463393478293, -74.03369647630593"
Turner,17-Jun,2022,7,N,N,N,N,N,N,N,N,Rotational,2,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,16,1,12,12,0,3,2,S,,77,48,32,,"42.22686594127726, -76.99705251164634"
Kuipers,17-Jun,2022,7,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,14,0,13,10,3,1,2,S,,72,12,12,,"42.652410995744475, -78.24775957397635"
Honeyhill,17-Jun,2022,7,N,N,N,N,N,N,N,N,Rotational,0.5,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,14,2,11,0,11,1,1,S,N,72,20,27,,"42.7876199,-77.6811557"
Rugenstein,17-Jun,2022,7,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,3,1,2,0,1,PC,Y,76,9,5.2,,"43.06299375705573, -77.30374234638641"
Eisele,16-Jun,2022,7,N,N,N,N,N,N,N,N,Rotational,2,,0,9,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36,12,24,1,23,4,19,0,3,C,Y,60,0,27,,"42.158070, -74.802461"
Shephard,16-Jun,2022,7,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,21,0,21,11,10,0,1,C,Y,65,22,21,,"42.322393, -74.891982"
Chaseholm,21-Jun,2022,8,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,1,0,0,S,,82,87,32.8,,"41.98788599305552, -73.61780360369838"
Wallbridge,21-Jun,2022,8,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,22,29,2,21,0,21,6,3,S,,78,,,,"41.774997612249, -73.6515655461982"
JohnK,22-Jun,2022,8,N,N,N,N,N,N,N,N,Continuous,30,,0,40,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,95,44,51,0,27,5,22,24,5,C,Y,62,180,16,,"42.40061728166515, -73.99420583068292"
Boone,22-Jun,2022,8,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,3,16,1,13,9,4,2,2,R,Y,56,9,6,,"42.54463393478293, -74.03369647630593"
Turner,22-Jun,2022,8,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,17,1,16,4,12,0,1,S,,92,48,22,,"42.22686594127726, -76.99705251164634"
Kuipers,22-Jun,2022,8,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,2,0,0,1,PC,,81,23,18,,"42.652410995744475, -78.24775957397635"
Honeyhill,24-Jun,2022,8,N,N,N,N,N,N,N,N,Rotational,0.5,,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,4,14,1,11,10,1,2,4,,,,,,,"42.7876199,-77.6811557"
Rugenstein,24-Jun,2022,8,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,22,0,22,4,18,0,3,,,,,,,"43.06299375705573, -77.30374234638641"
Eisele,23-Jun,2022,8,N,N,N,N,N,N,N,N,Rotational,2,,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,14,0,14,5,9,0,2,S,,70,17,23,,"42.158070, -74.802461"
Shephard,23-Jun,2022,8,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,37,7,30,1,25,25,0,4,3,S,,70,12,13,,"42.322393, -74.891982"
Chaseholm,30-Jun,2022,9,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,4,4,0,3,1,2,1,2,S,,80,132.2,43.6,,"41.98788599305552, -73.61780360369838"
Wallbridge,30-Jun,2022,9,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,48,0,6,0,2,0,0,0,0,0,0,0,0,3,0,0,0,103,59,44,2,38,2,36,4,4,S,,80,,,,"41.774997612249, -73.6515655461982"
JohnK,28-Jun,2022,9,N,N,N,N,N,N,N,N,Continuous,30,,0,209,1,25,1,0,0,0,1,0,0,0,0,0,1,0,0,0,282,238,44,0,36,3,33,8,6,,,,,,,"42.40061728166515, -73.99420583068292"
Boone,28-Jun,2022,9,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,14,40,1,39,0,39,0,2,S,Y,75,98,13,,"42.54463393478293, -74.03369647630593"
Turner,29-Jun,2022,9,N,N,N,N,N,N,N,N,Rotational,2,,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,52,0,52,0,52,0,2,S,,76,118,32,,"42.22686594127726, -76.99705251164634"
Kuipers,29-Jun,2022,9,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,2,0,0,1,S,,64,44,39,,"42.652410995744475, -78.24775957397635"
Honeyhill,29-Jun,2022,9,N,N,N,N,N,N,N,N,Rotational,0.5,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,13,0,11,6,5,2,1,S,N,70,31,39,,"42.7876199,-77.6811557"
Rugenstein,29-Jun,2022,9,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,31,0,31,16,15,0,3,S,N,74,25.4,14.6,,"43.06299375705573, -77.30374234638641"
Eisele,30-Jun,2022,9,N,N,N,N,N,N,N,N,Rotational,2,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,28,0,28,2,26,0,1,S,,80,22,7,,"42.158070, -74.802461"
Shephard,30-Jun,2022,9,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,3,0,3,3,0,0,3,S,,80,114,9,,"42.322393, -74.891982"
Chaseholm,5-Jul,2022,10,N,N,N,N,N,N,N,N,Rotational,2.5,,0,16,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,25,114,5,100,0,100,9,3,S,,80,125,53.4,,"41.98788599305552, -73.61780360369838"
Wallbridge,5-Jul,2022,10,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,34,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72,37,35,1,31,2,29,3,4,S,,83,,,,"41.774997612249, -73.6515655461982"
JohnK,6-Jul,2022,10,N,N,N,N,N,N,N,N,Continuous,30,,0,40,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77,51,26,1,25,20,5,0,3,C,Y,74,180,21,,"42.40061728166515, -73.99420583068292"
Boone,6-Jul,2022,10,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,25,0,24,9,15,1,2,C,Y,71,38,13,,"42.54463393478293, -74.03369647630593"
Turner,7-Jul,2022,10,N,N,N,N,N,N,N,N,Rotational,2,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,21,2,17,9,8,2,1,S,,88,132,44,,"42.22686594127726, -76.99705251164634"
Kuipers,7-Jul,2022,10,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,14,3,0,3,0,3,0,3,S,,72,19,33,,"42.652410995744475, -78.24775957397635"
Honeyhill,6-Jul,2022,10,N,N,N,N,N,N,N,N,Rotational,0.5,,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,18,101,0,97,78,19,4,1,C,N,64,28.6,35.6,,"42.7876199,-77.6811557"
Rugenstein,6-Jul,2022,10,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,2,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,37,29,1,27,16,11,1,3,C,N,66,18.8,13,,"43.06299375705573, -77.30374234638641"
Eisele,6-Jul,2022,10,N,N,N,N,N,N,N,N,Rotational,2,,0,24,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,205,34,171,0,170,10,160,1,5,S,,80,14,29,,"42.158070, -74.802461"
Shephard,8-Jul,2022,10,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,33,28,0,26,1,25,2,3,PC,,80,54,23,,"42.322393, -74.891982"
Chaseholm,12-Jul,2022,11,N,N,N,N,N,N,N,N,Rotational,2.5,,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,4,52,0,50,1,49,2,2,S,,93,,,,"41.98788599305552, -73.61780360369838"
Wallbridge,11-Jul,2022,11,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,40,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,45,65,1,64,2,62,0,2,S,,78,91.6,35.6,,"41.774997612249, -73.6515655461982"
JohnK,13-Jul,2022,11,N,N,N,N,N,N,N,N,Continuous,30,,0,36,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,50,16,0,14,2,12,2,3,S,N,80,240,22,,"42.40061728166515, -73.99420583068292"
Boone,13-Jul,2022,11,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,37,31,0,31,4,27,0,2,S,Y,78,140,17,,"42.54463393478293, -74.03369647630593"
Turner,14-Jul,2022,11,N,N,N,N,N,N,N,N,Rotational,2,,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,5,64,2,62,5,57,0,3,PC,,72,62,30,,"42.22686594127726, -76.99705251164634"
Kuipers,14-Jul,2022,11,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,63,24,29,,"42.652410995744475, -78.24775957397635"
Honeyhill,14-Jul,2022,11,N,N,N,N,N,N,N,N,Rotational,0.5,,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,27,13,1,12,1,11,0,1,PC,N,73,45,42,,"42.7876199,-77.6811557"
Rugenstein,14-Jul,2022,11,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,23,1,22,11,11,0,1,S,N,75,12.4,13,,"43.06299375705573, -77.30374234638641"
Eisele,14-Jul,2022,11,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,19,0,19,1,18,0,1,S,,75,17,19,,"42.158070, -74.802461"
Shephard,15-Jul,2022,11,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,20,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48,27,21,0,19,0,19,2,4,S,,75,15,10,,"42.322393, -74.891982"
Chaseholm,20-Jul,2022,12,N,N,N,N,N,N,N,N,Rotational,2.5,,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,18,37,2,35,0,35,0,2,C,,87,181,59,,"41.98788599305552, -73.61780360369838"
Wallbridge,19-Jul,2022,12,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,8,0,8,2,6,0,2,S,,90,84,45,,"41.774997612249, -73.6515655461982"
JohnK,19-Jul,2022,12,N,N,N,N,N,N,N,N,Continuous,30,,0,35,1,8,0,0,0,0,0,0,2,0,0,1,7,2,0,0,99,56,43,0,42,0,42,1,7,,,,,,,"42.40061728166515, -73.99420583068292"
Boone,19-Jul,2022,12,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,10,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,18,33,0,33,7,26,0,4,S,Y,80,210,16,,"42.54463393478293, -74.03369647630593"
Turner,21-Jul,2022,12,N,N,N,N,N,N,N,N,Rotational,2,,0,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,32,86,1,85,4,81,0,3,,,,106,38,,"42.22686594127726, -76.99705251164634"
Kuipers,21-Jul,2022,12,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,4,10,3,6,0,6,1,3,R,,72,70,62,,"42.652410995744475, -78.24775957397635"
Honeyhill,21-Jul,2022,12,N,N,N,N,N,N,N,N,Rotational,0.5,,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,0,0,0,0,2,PC,Y,75,68,46,,"42.7876199,-77.6811557"
Rugenstein,21-Jul,2022,12,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,32,0,31,10,21,1,1,C,Y,80,4,5,,"43.06299375705573, -77.30374234638641"
Eisele,21-Jul,2022,12,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1,88,0,85,4,81,3,1,S,,75,13,56,,"42.158070, -74.802461"
Shephard,21-Jul,2022,12,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,34,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,54,101,0,92,11,81,9,3,S,,78,200,17,,"42.322393, -74.891982"
Chaseholm,26-Jul,2022,13,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,17,0,17,2,15,0,1,S,,80,,,,"41.98788599305552, -73.61780360369838"
Wallbridge,25-Jul,2022,13,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,5,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,43,20,23,1,22,0,22,0,3,C,,85,204.4,66.8,,"41.774997612249, -73.6515655461982"
JohnK,29-Jul,2022,13,N,N,N,N,N,N,N,N,Continuous,30,,0,1,0,9,0,0,0,0,0,0,0,6,0,0,1,0,0,0,70,17,53,1,48,3,45,4,4,S,Y,85,260,10,,"42.40061728166515, -73.99420583068292"
Boone,29-Jul,2022,13,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,5,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,63,12,51,0,50,5,45,1,3,,,,,,,"42.54463393478293, -74.03369647630593"
