site,pest,crop,state_province,date,count,latitude,longitude
BayerBelmont,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,10,42.922,-81.098
BayerBothwell,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,6,42.582,-81.862
BayerLangton,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,0,42.711,-80.554
BayerMelbourne,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,6,42.845,-81.548
BayerPortRowan,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,0,42.612,-80.605
BayerSt.Thomas,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,0,42.784,-81.083
BayerTillsonburg,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,6,42.975,-80.579
BayerWallacetown,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,4,42.607,-81.505
Charlene - Yuke Field,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,30,45.567,-76.918
Collins east,Western Bean Cutworm (WBC),Dry Beans,MI,8/21/20,41,45.69,-86.648
Collins fairport,Western Bean Cutworm (WBC),Dry Beans,MI,8/21/20,14,45.625,-86.651
Collins home,Western Bean Cutworm (WBC),Dry Beans,MI,8/21/20,86,45.679,-86.698
FS-E-SimcoeWBC,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,20,42.818,-80.284
FS-M-Delhi-3WBC,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,0,42.823,-80.491
FSNAyrWBC,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,6,43.325,-80.488
FS-N-Norwich-1WBC,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,0,43.017,-80.548
FS-N-Norwich-2WBC,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,1,42.986,-80.515
FS-N-Norwich-3WBC,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,0,42.976,-80.521
FS-N-TeetervilleWBC,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,2,42.948,-80.441
FS-S-SouthofDelhi-1WBC,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,1,42.738,-80.552
FS-W-S of KitchenerWBC,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,60,43.381,-80.517
HRS Beans,Western Bean Cutworm (WBC),Dry Beans,ON,8/21/20,29,43.32,-81.508
HRS Cornc,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,36,43.32,-81.51
Kb,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,5,42.257,-82.653
LouisevilleWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/21/20,2,46.286,-72.928
Masstown ,Western Bean Cutworm (WBC),Field Corn,NS,8/21/20,37,45.387,-63.461
Metab-Lac à la Croix (LSJ)WBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/21/20,8,48.438,-71.852
MSUENT,Western Bean Cutworm (WBC),Field Corn,MI,8/21/20,6,42.69,-84.495
Neuville-sudWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/21/20,1,46.712,-71.559
St-ArsèneWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/21/20,0,47.866,-69.455
Ste-Pétronille (Île d'Orléans)WBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/21/20,12,46.854,-71.105
Trois-RivièresWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/21/20,2,46.406,-72.708
Upper Onslow ,Western Bean Cutworm (WBC),Field Corn,NS,8/21/20,38,45.374,-63.334
WJ,Western Bean Cutworm (WBC),Field Corn,ON,8/21/20,1,42.258,-82.653
4087 Olde,Western Bean Cutworm (WBC),Field Corn,ON,8/22/20,0,42.789,-81.732
Lakerange 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/23/20,42,44.131,-81.671
Lakerange2,Western Bean Cutworm (WBC),Dry Beans,ON,8/23/20,73,44.129,-81.663
AAFC London east trap,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,0,43.031,-81.207
AAFC London west trap,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,1,43.031,-81.207
Aitken Home 7 HK,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,11,44.086,-80.776
Amberley Field ,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,21,43.992,-81.678
Arand Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,21,43.618,-80.985
Arand Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,13,43.621,-80.986
BayerWatford,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,0,42.931,-81.944
Beaton’s Farm,Western Bean Cutworm (WBC),Field Corn,NS,8/24/20,1,46.037,-61.427
Beatty HK,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,10,43.931,-80.548
Beaukema HK,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,15,43.691,-80.351
Blyth Beans,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,22,43.688,-81.329
BW Home,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,7,43.611,-81.405
Château-RicherWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/24/20,2,46.969,-71.051
Chatsworth,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,10,44.489,-80.926
Cooper South,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,7,43.485,-81.484
Curvinglane 8/17,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,15,45.348,-76.138
D Home,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,8,43.773,-81.466
David Cronin 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,26,43.538,-81.289
David Cronin 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,14,43.54,-81.288
DeBlock Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,30,43.575,-81.244
DeBlock Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,37,43.577,-81.249
Delhi,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,0,42.828,-80.495
Double LL A Ryan ,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,29,45.364,-76.34
Double LL D Murphy ,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,11,45.472,-76.178
Dowson Home,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,63,43.53,-81.622
Dunedin,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,13,44.295,-80.191
F Home,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,0,43.551,-81.238
Hilltone Dobbs big ,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,13,45.373,-76.26
Hoover HK,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,17,44.491,-80.63
Kincardine Field ,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,61,44.164,-81.58
Klink 1,Western Bean Cutworm (WBC),Dry Beans,MI,8/24/20,1,45.813,-86.553
Klink 2,Western Bean Cutworm (WBC),Dry Beans,MI,8/24/20,8,45.806,-86.548
LaTulip 1,Western Bean Cutworm (WBC),Dry Beans,MI,8/24/20,1,45.78,-86.551
LaTulip 2,Western Bean Cutworm (WBC),Dry Beans,MI,8/24/20,4,45.76,-86.605
Lindsay WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,5,44.284,-78.622
Lindsay WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,19,44.284,-78.622
Lodewyk Vollmershausen Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,4,43.147,-80.626
Lodewyk Vollmershausen Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,25,43.147,-80.628
LouisevilleWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/24/20,0,46.286,-72.928
Lucknow Field ,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,18,43.948,-81.47
Mac Donald,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,18,43.826,-81.155
Mapleholme Shacklton W,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,5,45.33,-76.041
Markdale,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,3,44.295,-80.655
McPherson WBC,Western Bean Cutworm (WBC),Sweet Corn,ON,8/24/20,9,42.867,-81.189
Metab-Lac à la Croix (LSJ)WBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/24/20,4,48.438,-71.852
Mitchell Sylvite ,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,0,43.473,-81.223
Neil Hamilton Goldenline 40,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,21,45.196,-76.08
Neuville-sudWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/24/20,2,46.712,-71.559
Paisley Field ,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,20,44.227,-81.305
Pat Schoonderwoerd 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,36,43.463,-81.235
Pat Schoonderwoerd 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,15,43.462,-81.236
Piggot Vollmershausen Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,2,43.266,-80.663
Piggot Vollmershausen Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,5,43.268,-80.664
Port Elgin Field ,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,11,44.398,-81.39
R Roth,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,11,43.619,-81.582
Reyneveldt Vollmershausen Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,16,43.3,-80.719
Reyneveldt Vollmershausen Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,46,43.304,-80.717
Rosecamp home ,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,60,44.954,-76.297
Ross HK,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,5,43.922,-81.2
Sass HK,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,50,44.269,-80.572
Shelburne,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,17,44.1,-80.231
St-ArsèneWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/24/20,0,47.866,-69.455
Ste-Pétronille (Île d'Orléans)WBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/24/20,4,46.854,-71.105
Steven Cronin ,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,4,43.532,-81.34
Tavistock,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,1,43.277,-80.774
Taylea Bin 4/5,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,78,44.851,-76.346
Teeswater Field ,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,32,44.019,-81.266
Trevor Pridham,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,5,43.405,-81.252
Uni-trap,Western Bean Cutworm (WBC),Field Corn,NS,8/24/20,1,45.371,-62.141
V Mid-ditch,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,6,43.444,-81.002
Van Tol Second Line 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,59,43.734,-80.355
Van Tol Second Line 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,67,43.735,-80.358
Van Tol Third Line 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,20,43.725,-80.317
Van Tol Third Line 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,38,43.722,-80.316
Vandewalle Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,7,43.477,-81.214
Vandewalle Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,0,43.477,-81.214
Vandewalle Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,0,43.477,-81.214
Vandewalle Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,19,43.481,-81.217
Verschurens ,Western Bean Cutworm (WBC),Field Corn,NS,8/24/20,0,46.194,-60.274
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,48,45.056,-75.343
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,8/24/20,16,45.056,-75.343
Zilke Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,3,43.353,-80.996
Zilke Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/20,4,43.255,-80.803
5 Sideroad HK,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,20,43.911,-80.26
Abbott North,Western Bean Cutworm (WBC),Dry Beans,ON,8/25/20,23,43.065,-81.102
Abbott South,Western Bean Cutworm (WBC),Dry Beans,ON,8/25/20,24,43.062,-81.1
Bardoel,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,4,43.044,-80.928
BayerClinton,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,15,43.643,-81.559
BayerIlderton,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,0,43.03,-81.448
BayerVarna,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,5,43.543,-81.658
Belwood,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,30,43.805,-80.337
Belwood,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,30,43.805,-80.337
Bill Mowat Dairy Barn 2,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,32,45.238,-75.841
Bloetjes,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,4,42.913,-81.063
Bloomfield,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,0,43.07,-81.432
Bookma WBC,Western Bean Cutworm (WBC),Field Corn,NS,8/25/20,0,45.106,-63.428
Bornholm ,Western Bean Cutworm (WBC),Dry Beans,ON,8/25/20,6,43.543,-81.132
Cadman WBC,Western Bean Cutworm (WBC),Sweet Corn,ON,8/25/20,12,42.904,-80.805
Downie,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,0,43.31,-81.086
Eastep,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,20,43.711,-80.475
Gillis,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,0,43.127,-81.302
Jameson HK,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,0,44.211,-80.257
Joe Egli,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,1,43.394,-81.129
London WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,0,43.16,-81.581
London WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,3,43.16,-81.581
Marlboro Hawkins ,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,36,45.167,-75.735
Marlboro Smit 40,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,35,45.21,-75.796
Mccurdy WBC,Western Bean Cutworm (WBC),Field Corn,NS,8/25/20,8,45.345,-63.39
Michael’s,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,5,43.467,-80.179
Monkton,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,5,43.579,-81.103
Opa,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,35,43.788,-80.685
Rannoch,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,4,43.268,-81.193
Ravenna,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,62,44.295,-80.655
Ringia,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,0,43.205,-81.009
Sinopoli,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,25,43.719,-80.111
Swisslea,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,2,43.086,-81.021
Tara Home 1 ,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,55,45.177,-75.661
Waterville 5 western bean cutworm,Western Bean Cutworm (WBC),Field Corn,NS,8/25/20,0,45.064,-64.696
Wellburn,Western Bean Cutworm (WBC),Field Corn,ON,8/25/20,0,43.199,-81.152
BayerInnerkip,Western Bean Cutworm (WBC),Field Corn,ON,8/26/20,6,43.22,-80.684
Campbellville,Western Bean Cutworm (WBC),Field Corn,ON,8/26/20,0,43.498,-79.989
FS Partner site -1,Western Bean Cutworm (WBC),Dry Beans,ON,8/26/20,31,43.689,-80.199
FS Partners Field -2,Western Bean Cutworm (WBC),Dry Beans,ON,8/26/20,19,43.688,-80.196
Maryhill,Western Bean Cutworm (WBC),Field Corn,ON,8/26/20,11,43.533,-80.376
Overmars,Western Bean Cutworm (WBC),Field Corn,NS,8/26/20,0,45.542,-61.91
Swinkles   ,Western Bean Cutworm (WBC),Field Corn,NS,8/26/20,3,45.601,-61.762
BayerBelmont,Western Bean Cutworm (WBC),Field Corn,ON,8/27/20,0,42.922,-81.098
BiggsFarms_WBC,Western Bean Cutworm (WBC),Field Corn,NS,8/27/20,1,45.085,-64.318
David Cronin 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/27/20,11,43.538,-81.289
David Cronin 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/27/20,8,43.54,-81.288
HRS Beans,Western Bean Cutworm (WBC),Dry Beans,ON,8/27/20,13,43.32,-81.508
HRS Cornc,Western Bean Cutworm (WBC),Field Corn,ON,8/27/20,1,43.32,-81.51
Joe Egli,Western Bean Cutworm (WBC),Field Corn,ON,8/27/20,2,43.394,-81.129
Kb,Western Bean Cutworm (WBC),Field Corn,ON,8/27/20,4,42.257,-82.653
Mitchell Sylvite ,Western Bean Cutworm (WBC),Field Corn,ON,8/27/20,1,43.473,-81.223
MSUAGRO,Western Bean Cutworm (WBC),Field Corn,MI,8/27/20,4,42.708,-84.467
MSUENT,Western Bean Cutworm (WBC),Field Corn,MI,8/27/20,1,42.69,-84.495
Pat Schoonderwoerd 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/27/20,10,43.463,-81.235
Pat Schoonderwoerd 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/27/20,11,43.462,-81.236
Steven Cronin ,Western Bean Cutworm (WBC),Field Corn,ON,8/27/20,2,43.532,-81.34
Trevor Pridham,Western Bean Cutworm (WBC),Field Corn,ON,8/27/20,2,43.405,-81.252
Upper Onslow ,Western Bean Cutworm (WBC),Field Corn,NS,8/27/20,1,45.374,-63.334
WJ,Western Bean Cutworm (WBC),Field Corn,ON,8/27/20,6,42.257,-82.653
Bent,Western Bean Cutworm (WBC),Field Corn,NS,8/28/20,3,44.931,-65.146
Bishop,Western Bean Cutworm (WBC),Field Corn,NS,8/28/20,1,44.767,-65.434
ChicoutimiWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,48.402,-71.005
Cooper North,Western Bean Cutworm (WBC),Field Corn,ON,8/28/20,15,43.486,-81.484
Dowson Home,Western Bean Cutworm (WBC),Field Corn,ON,8/28/20,31,43.53,-81.622
Gatineau (Masson)WBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,2,45.569,-75.367
La ConceptionWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,46.118,-74.481
Laval-OuestWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,1,45.532,-73.839
LouisevilleWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,2,46.286,-72.928
Metab-Lac à la Croix (LSJ)WBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,4,48.438,-71.852
Mont-LaurierWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,46.552,-75.504
Neuville-sudWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,46.712,-71.559
NicoletWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,46.217,-72.588
OkaWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,45.498,-74.153
PierrevilleWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,46.1,-72.876
PrincevilleWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,46.194,-71.829
St-Antoine-de-TillyWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,46.666,-71.583
St-ArsèneWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,46.666,-71.583
Ste-Pétronille (Île d'Orléans)WBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,46.854,-71.105
St-Henri-de-LévisWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,46.697,-71.071
St-JacquesWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,45.623,-73.7
St-Paul-D'AbbotsfordWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,0,45.424,-72.84
St-PolycarpeWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,19,45.303,-74.299
St-RémiWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,3,45.265,-73.622
St-SiméonWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,1,48.07,-65.569
ValleyfieldWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/28/20,8,45.255,-74.105
Lakerange 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/30/20,11,44.131,-81.671
Lakerange2,Western Bean Cutworm (WBC),Dry Beans,ON,8/30/20,9,44.129,-81.663
Uni-trap,Western Bean Cutworm (WBC),Field Corn,NS,8/30/20,0,45.371,-62.14
Aitken Home 7 HK,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,2,44.086,-80.776
Arand Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,1,43.618,-80.985
Arand Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,5,43.621,-80.986
Beatty HK,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,3,43.931,-80.548
Beaukema HK,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,8,43.691,-80.351
Boersma East6,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,8,43.402,-81.455
Boersma West,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,7,43.404,-81.467
Charlene - Yuke Field,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,1,45.567,-76.919
Château-RicherWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.969,-71.051
ComptonWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,1,45.286,-71.828
DeBlock Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,8,43.575,-81.244
DeBlock Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,17,43.577,-81.249
Dunedin,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,3,44.295,-80.191
Gatineau (Masson)WBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,3,45.569,-75.367
Hoover HK,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,1,44.491,-80.63
La ConceptionWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.118,-74.481
Laval-OuestWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,45.532,-73.839
Lodewyk Vollmershausen Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,0,43.147,-80.626
Lodewyk Vollmershausen Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,4,43.147,-80.626
Lodewyk Vollmershausen Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,4,43.147,-80.628
LouisevilleWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.286,-72.928
Mac Donald,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,4,43.826,-81.155
Markdale,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,0,44.295,-80.655
Metab-Lac à la Croix (LSJ)WBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,48.438,-71.852
Mont-LaurierWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.552,-75.504
Neuville-sudWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.712,-71.559
NicoletWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.217,-72.588
OkaWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,2,45.498,-74.153
PierrevilleWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.1,-72.876
Piggot Vollmershausen Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,2,43.266,-80.663
Piggot Vollmershausen Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,5,43.268,-80.664
PrincevilleWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.194,-71.829
Ravenna,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,2,44.295,-80.655
Reyneveldt Vollmershausen Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,6,43.3,-80.719
Reyneveldt Vollmershausen Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,10,43.304,-80.717
Ross HK,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,1,43.922,-81.2
Sass HK,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,9,44.269,-80.572
Shelburne,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,2,44.1,-80.231
St-ArsèneWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.666,-71.583
Ste-Pétronille (Île d'Orléans)WBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.854,-71.105
St-Henri-de-LévisWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.697,-71.071
St-JacquesWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,45.623,-73.7
St-Paul-D'AbbotsfordWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,45.424,-72.84
St-PolycarpeWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,2,45.303,-74.299
St-RémiWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,45.265,-73.622
St-SiméonWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,48.07,-65.569
St-VallierWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.633,-70.968
Trois-RivièresWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,0,46.406,-72.708
ValleyfieldWBC,Western Bean Cutworm (WBC),Sweet Corn,QC,8/31/20,2,45.255,-74.105
Vandewalle Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,1,43.477,-81.214
Vandewalle Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,8,43.481,-81.217
Waterville 5 western bean cutworm,Western Bean Cutworm (WBC),Field Corn,NS,8/31/20,0,45.064,-64.696
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,7,45.056,-75.343
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,8/31/20,5,45.056,-75.343
Zilke Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,3,43.353,-80.996
Zilke Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/20,2,43.255,-80.803
5 Sideroad HK,Western Bean Cutworm (WBC),Field Corn,ON,9/1/20,0,43.911,-80.26
Belwood,Western Bean Cutworm (WBC),Field Corn,ON,9/1/20,9,43.805,-80.337
Bornholm ,Western Bean Cutworm (WBC),Dry Beans,ON,9/1/20,3,43.543,-81.132
Chatsworth,Western Bean Cutworm (WBC),Field Corn,ON,9/1/20,3,44.489,-80.926
Mccurdy WBC,Western Bean Cutworm (WBC),Field Corn,NS,9/1/20,3,45.345,-63.39
